UserID,Password,Device,Location,age,sex,bmi,children,smoker,charges,UserType
42,patient42,Laptop,northeast,52,female,24.0,2,yes,1042,Patient
43,patient43,Mobile,southwest,53,male,24.5,3,no,1043,Patient
44,patient44,Tablet,southeast,54,female,25.0,4,no,1044,Patient
45,patient45,Laptop,northwest,55,male,25.5,0,yes,1045,Patient
46,patient46,Mobile,northeast,56,female,26.0,1,no,1046,Patient
47,patient47,Tablet,southwest,57,male,26.5,2,no,1047,Patient
48,patient48,Laptop,southeast,58,female,27.0,3,yes,1048,Patient
49,patient49,Mobile,northwest,59,male,27.5,4,no,1049,Patient
50,patient50,Tablet,northeast,60,female,28.0,0,no,1050,Patient
51,patient51,Laptop,southwest,61,male,28.5,1,yes,1051,Patient
52,patient52,Mobile,southeast,62,female,29.0,2,no,1052,Patient
53,patient53,Tablet,northwest,63,male,29.5,3,no,1053,Patient
54,patient54,Laptop,northeast,64,female,30.0,4,yes,1054,Patient
55,patient55,Mobile,southwest,65,male,30.5,0,no,1055,Patient
56,patient56,Tablet,southeast,66,female,31.0,1,no,1056,Patient
57,patient57,Laptop,northwest,67,male,31.5,2,yes,1057,Patient
58,patient58,Mobile,northeast,68,female,32.0,3,no,1058,Patient
59,patient59,Tablet,southwest,69,male,32.5,4,no,1059,Patient
60,patient60,Laptop,southeast,70,female,18.0,0,yes,1060,Patient
61,patient61,Mobile,northwest,71,male,18.5,1,no,1061,Patient
62,patient62,Tablet,northeast,72,female,19.0,2,no,1062,Patient
63,patient63,Laptop,southwest,73,male,19.5,3,yes,1063,Patient
64,patient64,Mobile,southeast,74,female,20.0,4,no,1064,Patient
65,patient65,Tablet,northwest,75,male,20.5,0,no,1065,Patient
66,patient66,Laptop,northeast,76,female,21.0,1,yes,1066,Patient
67,patient67,Mobile,southwest,77,male,21.5,2,no,1067,Patient
68,patient68,Tablet,southeast,78,female,22.0,3,no,1068,Patient
69,patient69,Laptop,northwest,79,male,22.5,4,yes,1069,Patient
70,patient70,Mobile,northeast,80,female,23.0,0,no,1070,Patient
71,patient71,Tablet,southwest,81,male,23.5,1,no,1071,Patient
72,patient72,Laptop,southeast,82,female,24.0,2,yes,1072,Patient
73,patient73,Mobile,northwest,83,male,24.5,3,no,1073,Patient
74,patient74,Tablet,northeast,84,female,25.0,4,no,1074,Patient
75,patient75,Laptop,southwest,85,male,25.5,0,yes,1075,Patient
76,patient76,Mobile,southeast,86,female,26.0,1,no,1076,Patient
77,patient77,Tablet,northwest,87,male,26.5,2,no,1077,Patient
78,patient78,Laptop,northeast,88,female,27.0,3,yes,1078,Patient
79,patient79,Mobile,southwest,89,male,27.5,4,no,1079,Patient
80,patient80,Tablet,southeast,90,female,28.0,0,no,1080,Patient
81,patient81,Laptop,northwest,91,male,28.5,1,yes,1081,Patient
82,patient82,Mobile,northeast,92,female,29.0,2,no,1082,Patient
83,patient83,Tablet,southwest,93,male,29.5,3,no,1083,Patient
84,patient84,Laptop,southeast,94,female,30.0,4,yes,1084,Patient
85,patient85,Mobile,northwest,95,male,30.5,0,no,1085,Patient
86,patient86,Tablet,northeast,96,female,31.0,1,no,1086,Patient
87,patient87,Laptop,southwest,97,male,31.5,2,yes,1087,Patient
88,patient88,Mobile,southeast,98,female,32.0,3,no,1088,Patient
89,patient89,Tablet,northwest,99,male,32.5,4,no,1089,Patient
90,patient90,Laptop,northeast,10,female,18.0,0,yes,1090,Patient
91,patient91,Mobile,southwest,11,male,18.5,1,no,1091,Patient
92,patient92,Tablet,southeast,12,female,19.0,2,no,1092,Patient
93,patient93,Laptop,northwest,13,male,19.5,3,yes,1093,Patient
94,patient94,Mobile,northeast,14,female,20.0,4,no,1094,Patient
95,patient95,Tablet,southwest,15,male,20.5,0,no,1095,Patient
96,patient96,Laptop,southeast,16,female,21.0,1,yes,1096,Patient
97,patient97,Mobile,northwest,17,male,21.5,2,no,1097,Patient
98,patient98,Tablet,northeast,18,female,22.0,3,no,1098,Patient
99,patient99,Laptop,southwest,19,male,22.5,4,yes,1099,Patient
100,patient100,Mobile,southeast,20,female,23.0,0,no,1100,Patient
101,patient101,Tablet,northwest,21,male,23.5,1,no,1101,Patient
102,patient102,Laptop,northeast,22,female,24.0,2,yes,1102,Patient
103,patient103,Mobile,southwest,23,male,24.5,3,no,1103,Patient
104,patient104,Tablet,southeast,24,female,25.0,4,no,1104,Patient
105,patient105,Laptop,northwest,25,male,25.5,0,yes,1105,Patient
106,patient106,Mobile,northeast,26,female,26.0,1,no,1106,Patient
107,patient107,Tablet,southwest,27,male,26.5,2,no,1107,Patient
108,patient108,Laptop,southeast,28,female,27.0,3,yes,1108,Patient
109,patient109,Mobile,northwest,29,male,27.5,4,no,1109,Patient
110,patient110,Tablet,northeast,30,female,28.0,0,no,1110,Patient
111,patient111,Laptop,southwest,31,male,28.5,1,yes,1111,Patient
112,patient112,Mobile,southeast,32,female,29.0,2,no,1112,Patient
113,patient113,Tablet,northwest,33,male,29.5,3,no,1113,Patient
114,patient114,Laptop,northeast,34,female,30.0,4,yes,1114,Patient
115,patient115,Mobile,southwest,35,male,30.5,0,no,1115,Patient
116,patient116,Tablet,southeast,36,female,31.0,1,no,1116,Patient
117,patient117,Laptop,northwest,37,male,31.5,2,yes,1117,Patient
118,patient118,Mobile,northeast,38,female,32.0,3,no,1118,Patient
119,patient119,Tablet,southwest,39,male,32.5,4,no,1119,Patient
120,patient120,Laptop,southeast,40,female,18.0,0,yes,1120,Patient
121,patient121,Mobile,northwest,41,male,18.5,1,no,1121,Patient
122,patient122,Tablet,northeast,42,female,19.0,2,no,1122,Patient
123,patient123,Laptop,southwest,43,male,19.5,3,yes,1123,Patient
124,patient124,Mobile,southeast,44,female,20.0,4,no,1124,Patient
125,patient125,Tablet,northwest,45,male,20.5,0,no,1125,Patient
126,patient126,Laptop,northeast,46,female,21.0,1,yes,1126,Patient
127,patient127,Mobile,southwest,47,male,21.5,2,no,1127,Patient
128,patient128,Tablet,southeast,48,female,22.0,3,no,1128,Patient
129,patient129,Laptop,northwest,49,male,22.5,4,yes,1129,Patient
130,patient130,Mobile,northeast,50,female,23.0,0,no,1130,Patient
131,patient131,Tablet,southwest,51,male,23.5,1,no,1131,Patient
132,patient132,Laptop,southeast,52,female,24.0,2,yes,1132,Patient
133,patient133,Mobile,northwest,53,male,24.5,3,no,1133,Patient
134,patient134,Tablet,northeast,54,female,25.0,4,no,1134,Patient
135,patient135,Laptop,southwest,55,male,25.5,0,yes,1135,Patient
136,patient136,Mobile,southeast,56,female,26.0,1,no,1136,Patient
137,patient137,Tablet,northwest,57,male,26.5,2,no,1137,Patient
138,patient138,Laptop,northeast,58,female,27.0,3,yes,1138,Patient
139,patient139,Mobile,southwest,59,male,27.5,4,no,1139,Patient
140,patient140,Tablet,southeast,60,female,28.0,0,no,1140,Patient
141,patient141,Laptop,northwest,61,male,28.5,1,yes,1141,Patient
142,patient142,Mobile,northeast,62,female,29.0,2,no,1142,Patient
143,patient143,Tablet,southwest,63,male,29.5,3,no,1143,Patient
144,patient144,Laptop,southeast,64,female,30.0,4,yes,1144,Patient
145,patient145,Mobile,northwest,65,male,30.5,0,no,1145,Patient
146,patient146,Tablet,northeast,66,female,31.0,1,no,1146,Patient
147,patient147,Laptop,southwest,67,male,31.5,2,yes,1147,Patient
148,patient148,Mobile,southeast,68,female,32.0,3,no,1148,Patient
149,patient149,Tablet,northwest,69,male,32.5,4,no,1149,Patient
150,patient150,Laptop,northeast,70,female,18.0,0,yes,1150,Patient
151,patient151,Mobile,southwest,71,male,18.5,1,no,1151,Patient
152,patient152,Tablet,southeast,72,female,19.0,2,no,1152,Patient
153,patient153,Laptop,northwest,73,male,19.5,3,yes,1153,Patient
154,patient154,Mobile,northeast,74,female,20.0,4,no,1154,Patient
155,patient155,Tablet,southwest,75,male,20.5,0,no,1155,Patient
156,patient156,Laptop,southeast,76,female,21.0,1,yes,1156,Patient
157,patient157,Mobile,northwest,77,male,21.5,2,no,1157,Patient
158,patient158,Tablet,northeast,78,female,22.0,3,no,1158,Patient
159,patient159,Laptop,southwest,79,male,22.5,4,yes,1159,Patient
160,patient160,Mobile,southeast,80,female,23.0,0,no,1160,Patient
161,patient161,Tablet,northwest,81,male,23.5,1,no,1161,Patient
162,patient162,Laptop,northeast,82,female,24.0,2,yes,1162,Patient
163,patient163,Mobile,southwest,83,male,24.5,3,no,1163,Patient
164,patient164,Tablet,southeast,84,female,25.0,4,no,1164,Patient
165,patient165,Laptop,northwest,85,male,25.5,0,yes,1165,Patient
166,patient166,Mobile,northeast,86,female,26.0,1,no,1166,Patient
167,patient167,Tablet,southwest,87,male,26.5,2,no,1167,Patient
168,patient168,Laptop,southeast,88,female,27.0,3,yes,1168,Patient
169,patient169,Mobile,northwest,89,male,27.5,4,no,1169,Patient
170,patient170,Tablet,northeast,90,female,28.0,0,no,1170,Patient
171,patient171,Laptop,southwest,91,male,28.5,1,yes,1171,Patient
172,patient172,Mobile,southeast,92,female,29.0,2,no,1172,Patient
173,patient173,Tablet,northwest,93,male,29.5,3,no,1173,Patient
174,patient174,Laptop,northeast,94,female,30.0,4,yes,1174,Patient
175,patient175,Mobile,southwest,95,male,30.5,0,no,1175,Patient
176,patient176,Tablet,southeast,96,female,31.0,1,no,1176,Patient
177,patient177,Laptop,northwest,97,male,31.5,2,yes,1177,Patient
178,patient178,Mobile,northeast,98,female,32.0,3,no,1178,Patient
179,patient179,Tablet,southwest,99,male,32.5,4,no,1179,Patient
180,patient180,Laptop,southeast,10,female,18.0,0,yes,1180,Patient
181,patient181,Mobile,northwest,11,male,18.5,1,no,1181,Patient
182,patient182,Tablet,northeast,12,female,19.0,2,no,1182,Patient
183,patient183,Laptop,southwest,13,male,19.5,3,yes,1183,Patient
184,patient184,Mobile,southeast,14,female,20.0,4,no,1184,Patient
185,patient185,Tablet,northwest,15,male,20.5,0,no,1185,Patient
186,patient186,Laptop,northeast,16,female,21.0,1,yes,1186,Patient
187,patient187,Mobile,southwest,17,male,21.5,2,no,1187,Patient
188,patient188,Tablet,southeast,18,female,22.0,3,no,1188,Patient
189,patient189,Laptop,northwest,19,male,22.5,4,yes,1189,Patient
190,patient190,Mobile,northeast,20,female,23.0,0,no,1190,Patient
191,patient191,Tablet,southwest,21,male,23.5,1,no,1191,Patient
192,patient192,Laptop,southeast,22,female,24.0,2,yes,1192,Patient
193,patient193,Mobile,northwest,23,male,24.5,3,no,1193,Patient
194,patient194,Tablet,northeast,24,female,25.0,4,no,1194,Patient
195,patient195,Laptop,southwest,25,male,25.5,0,yes,1195,Patient
196,patient196,Mobile,southeast,26,female,26.0,1,no,1196,Patient
197,patient197,Tablet,northwest,27,male,26.5,2,no,1197,Patient
198,patient198,Laptop,northeast,28,female,27.0,3,yes,1198,Patient
199,patient199,Mobile,southwest,29,male,27.5,4,no,1199,Patient
200,patient200,Tablet,southeast,30,female,28.0,0,no,1200,Patient
201,patient201,Laptop,northwest,31,male,28.5,1,yes,1201,Patient
202,patient202,Mobile,northeast,32,female,29.0,2,no,1202,Patient
203,patient203,Tablet,southwest,33,male,29.5,3,no,1203,Patient
204,patient204,Laptop,southeast,34,female,30.0,4,yes,1204,Patient
205,patient205,Mobile,northwest,35,male,30.5,0,no,1205,Patient
206,patient206,Tablet,northeast,36,female,31.0,1,no,1206,Patient
207,patient207,Laptop,southwest,37,male,31.5,2,yes,1207,Patient
208,patient208,Mobile,southeast,38,female,32.0,3,no,1208,Patient
209,patient209,Tablet,northwest,39,male,32.5,4,no,1209,Patient
210,patient210,Laptop,northeast,40,female,18.0,0,yes,1210,Patient
211,patient211,Mobile,southwest,41,male,18.5,1,no,1211,Patient
212,patient212,Tablet,southeast,42,female,19.0,2,no,1212,Patient
213,patient213,Laptop,northwest,43,male,19.5,3,yes,1213,Patient
214,patient214,Mobile,northeast,44,female,20.0,4,no,1214,Patient
215,patient215,Tablet,southwest,45,male,20.5,0,no,1215,Patient
216,patient216,Laptop,southeast,46,female,21.0,1,yes,1216,Patient
217,patient217,Mobile,northwest,47,male,21.5,2,no,1217,Patient
218,patient218,Tablet,northeast,48,female,22.0,3,no,1218,Patient
219,patient219,Laptop,southwest,49,male,22.5,4,yes,1219,Patient
220,patient220,Mobile,southeast,50,female,23.0,0,no,1220,Patient
221,patient221,Tablet,northwest,51,male,23.5,1,no,1221,Patient
222,patient222,Laptop,northeast,52,female,24.0,2,yes,1222,Patient
223,patient223,Mobile,southwest,53,male,24.5,3,no,1223,Patient
224,patient224,Tablet,southeast,54,female,25.0,4,no,1224,Patient
225,patient225,Laptop,northwest,55,male,25.5,0,yes,1225,Patient
226,patient226,Mobile,northeast,56,female,26.0,1,no,1226,Patient
227,patient227,Tablet,southwest,57,male,26.5,2,no,1227,Patient
228,patient228,Laptop,southeast,58,female,27.0,3,yes,1228,Patient
229,patient229,Mobile,northwest,59,male,27.5,4,no,1229,Patient
230,patient230,Tablet,northeast,60,female,28.0,0,no,1230,Patient
231,patient231,Laptop,southwest,61,male,28.5,1,yes,1231,Patient
232,patient232,Mobile,southeast,62,female,29.0,2,no,1232,Patient
233,patient233,Tablet,northwest,63,male,29.5,3,no,1233,Patient
234,patient234,Laptop,northeast,64,female,30.0,4,yes,1234,Patient
235,patient235,Mobile,southwest,65,male,30.5,0,no,1235,Patient
236,patient236,Tablet,southeast,66,female,31.0,1,no,1236,Patient
237,patient237,Laptop,northwest,67,male,31.5,2,yes,1237,Patient
238,patient238,Mobile,northeast,68,female,32.0,3,no,1238,Patient
239,patient239,Tablet,southwest,69,male,32.5,4,no,1239,Patient
240,patient240,Laptop,southeast,70,female,18.0,0,yes,1240,Patient
241,patient241,Mobile,northwest,71,male,18.5,1,no,1241,Patient
242,patient242,Tablet,northeast,72,female,19.0,2,no,1242,Patient
243,patient243,Laptop,southwest,73,male,19.5,3,yes,1243,Patient
244,patient244,Mobile,southeast,74,female,20.0,4,no,1244,Patient
245,patient245,Tablet,northwest,75,male,20.5,0,no,1245,Patient
246,patient246,Laptop,northeast,76,female,21.0,1,yes,1246,Patient
247,patient247,Mobile,southwest,77,male,21.5,2,no,1247,Patient
248,patient248,Tablet,southeast,78,female,22.0,3,no,1248,Patient
249,patient249,Laptop,northwest,79,male,22.5,4,yes,1249,Patient
250,patient250,Mobile,northeast,80,female,23.0,0,no,1250,Patient
251,patient251,Tablet,southwest,81,male,23.5,1,no,1251,Patient
252,patient252,Laptop,southeast,82,female,24.0,2,yes,1252,Patient
253,patient253,Mobile,northwest,83,male,24.5,3,no,1253,Patient
254,patient254,Tablet,northeast,84,female,25.0,4,no,1254,Patient
255,patient255,Laptop,southwest,85,male,25.5,0,yes,1255,Patient
256,patient256,Mobile,southeast,86,female,26.0,1,no,1256,Patient
257,patient257,Tablet,northwest,87,male,26.5,2,no,1257,Patient
258,patient258,Laptop,northeast,88,female,27.0,3,yes,1258,Patient
259,patient259,Mobile,southwest,89,male,27.5,4,no,1259,Patient
260,patient260,Tablet,southeast,90,female,28.0,0,no,1260,Patient
261,patient261,Laptop,northwest,91,male,28.5,1,yes,1261,Patient
262,patient262,Mobile,northeast,92,female,29.0,2,no,1262,Patient
263,patient263,Tablet,southwest,93,male,29.5,3,no,1263,Patient
264,patient264,Laptop,southeast,94,female,30.0,4,yes,1264,Patient
265,patient265,Mobile,northwest,95,male,30.5,0,no,1265,Patient
266,patient266,Tablet,northeast,96,female,31.0,1,no,1266,Patient
267,patient267,Laptop,southwest,97,male,31.5,2,yes,1267,Patient
268,patient268,Mobile,southeast,98,female,32.0,3,no,1268,Patient
269,patient269,Tablet,northwest,99,male,32.5,4,no,1269,Patient
270,patient270,Laptop,northeast,10,female,18.0,0,yes,1270,Patient
271,patient271,Mobile,southwest,11,male,18.5,1,no,1271,Patient
272,patient272,Tablet,southeast,12,female,19.0,2,no,1272,Patient
273,patient273,Laptop,northwest,13,male,19.5,3,yes,1273,Patient
274,patient274,Mobile,northeast,14,female,20.0,4,no,1274,Patient
275,patient275,Tablet,southwest,15,male,20.5,0,no,1275,Patient
276,patient276,Laptop,southeast,16,female,21.0,1,yes,1276,Patient
277,patient277,Mobile,northwest,17,male,21.5,2,no,1277,Patient
278,patient278,Tablet,northeast,18,female,22.0,3,no,1278,Patient
279,patient279,Laptop,southwest,19,male,22.5,4,yes,1279,Patient
280,patient280,Mobile,southeast,20,female,23.0,0,no,1280,Patient
281,patient281,Tablet,northwest,21,male,23.5,1,no,1281,Patient
282,patient282,Laptop,northeast,22,female,24.0,2,yes,1282,Patient
283,patient283,Mobile,southwest,23,male,24.5,3,no,1283,Patient
284,patient284,Tablet,southeast,24,female,25.0,4,no,1284,Patient
285,patient285,Laptop,northwest,25,male,25.5,0,yes,1285,Patient
286,patient286,Mobile,northeast,26,female,26.0,1,no,1286,Patient
287,patient287,Tablet,southwest,27,male,26.5,2,no,1287,Patient
288,patient288,Laptop,southeast,28,female,27.0,3,yes,1288,Patient
289,patient289,Mobile,northwest,29,male,27.5,4,no,1289,Patient
290,patient290,Tablet,northeast,30,female,28.0,0,no,1290,Patient
291,patient291,Laptop,southwest,31,male,28.5,1,yes,1291,Patient
292,patient292,Mobile,southeast,32,female,29.0,2,no,1292,Patient
293,patient293,Tablet,northwest,33,male,29.5,3,no,1293,Patient
294,patient294,Laptop,northeast,34,female,30.0,4,yes,1294,Patient
295,patient295,Mobile,southwest,35,male,30.5,0,no,1295,Patient
296,patient296,Tablet,southeast,36,female,31.0,1,no,1296,Patient
297,patient297,Laptop,northwest,37,male,31.5,2,yes,1297,Patient
298,patient298,Mobile,northeast,38,female,32.0,3,no,1298,Patient
299,patient299,Tablet,southwest,39,male,32.5,4,no,1299,Patient
300,patient300,Laptop,southeast,40,female,18.0,0,yes,1300,Patient
301,patient301,Mobile,northwest,41,male,18.5,1,no,1301,Patient
302,patient302,Tablet,northeast,42,female,19.0,2,no,1302,Patient
303,patient303,Laptop,southwest,43,male,19.5,3,yes,1303,Patient
304,patient304,Mobile,southeast,44,female,20.0,4,no,1304,Patient
305,patient305,Tablet,northwest,45,male,20.5,0,no,1305,Patient
306,patient306,Laptop,northeast,46,female,21.0,1,yes,1306,Patient
307,patient307,Mobile,southwest,47,male,21.5,2,no,1307,Patient
308,patient308,Tablet,southeast,48,female,22.0,3,no,1308,Patient
309,patient309,Laptop,northwest,49,male,22.5,4,yes,1309,Patient
310,patient310,Mobile,northeast,50,female,23.0,0,no,1310,Patient
311,patient311,Tablet,southwest,51,male,23.5,1,no,1311,Patient
312,patient312,Laptop,southeast,52,female,24.0,2,yes,1312,Patient
313,patient313,Mobile,northwest,53,male,24.5,3,no,1313,Patient
314,patient314,Tablet,northeast,54,female,25.0,4,no,1314,Patient
315,patient315,Laptop,southwest,55,male,25.5,0,yes,1315,Patient
316,patient316,Mobile,southeast,56,female,26.0,1,no,1316,Patient
317,patient317,Tablet,northwest,57,male,26.5,2,no,1317,Patient
318,patient318,Laptop,northeast,58,female,27.0,3,yes,1318,Patient
319,patient319,Mobile,southwest,59,male,27.5,4,no,1319,Patient
320,patient320,Tablet,southeast,60,female,28.0,0,no,1320,Patient
321,patient321,Laptop,northwest,61,male,28.5,1,yes,1321,Patient
322,patient322,Mobile,northeast,62,female,29.0,2,no,1322,Patient
323,patient323,Tablet,southwest,63,male,29.5,3,no,1323,Patient
324,patient324,Laptop,southeast,64,female,30.0,4,yes,1324,Patient
325,patient325,Mobile,northwest,65,male,30.5,0,no,1325,Patient
326,patient326,Tablet,northeast,66,female,31.0,1,no,1326,Patient
327,patient327,Laptop,southwest,67,male,31.5,2,yes,1327,Patient
328,patient328,Mobile,southeast,68,female,32.0,3,no,1328,Patient
329,patient329,Tablet,northwest,69,male,32.5,4,no,1329,Patient
330,patient330,Laptop,northeast,70,female,18.0,0,yes,1330,Patient
331,patient331,Mobile,southwest,71,male,18.5,1,no,1331,Patient
332,patient332,Tablet,southeast,72,female,19.0,2,no,1332,Patient
333,patient333,Laptop,northwest,73,male,19.5,3,yes,1333,Patient
334,patient334,Mobile,northeast,74,female,20.0,4,no,1334,Patient
335,patient335,Tablet,southwest,75,male,20.5,0,no,1335,Patient
336,patient336,Laptop,southeast,76,female,21.0,1,yes,1336,Patient
337,patient337,Mobile,northwest,77,male,21.5,2,no,1337,Patient
338,patient338,Tablet,northeast,78,female,22.0,3,no,1338,Patient
339,patient339,Laptop,southwest,79,male,22.5,4,yes,1339,Patient
340,patient340,Mobile,southeast,80,female,23.0,0,no,1340,Patient
341,patient341,Tablet,northwest,81,male,23.5,1,no,1341,Patient
342,patient342,Laptop,northeast,82,female,24.0,2,yes,1342,Patient
343,patient343,Mobile,southwest,83,male,24.5,3,no,1343,Patient
344,patient344,Tablet,southeast,84,female,25.0,4,no,1344,Patient
345,patient345,Laptop,northwest,85,male,25.5,0,yes,1345,Patient
346,patient346,Mobile,northeast,86,female,26.0,1,no,1346,Patient
347,patient347,Tablet,southwest,87,male,26.5,2,no,1347,Patient
348,patient348,Laptop,southeast,88,female,27.0,3,yes,1348,Patient
349,patient349,Mobile,northwest,89,male,27.5,4,no,1349,Patient
350,patient350,Tablet,northeast,90,female,28.0,0,no,1350,Patient
351,patient351,Laptop,southwest,91,male,28.5,1,yes,1351,Patient
352,patient352,Mobile,southeast,92,female,29.0,2,no,1352,Patient
353,patient353,Tablet,northwest,93,male,29.5,3,no,1353,Patient
354,patient354,Laptop,northeast,94,female,30.0,4,yes,1354,Patient
355,patient355,Mobile,southwest,95,male,30.5,0,no,1355,Patient
356,patient356,Tablet,southeast,96,female,31.0,1,no,1356,Patient
357,patient357,Laptop,northwest,97,male,31.5,2,yes,1357,Patient
358,patient358,Mobile,northeast,98,female,32.0,3,no,1358,Patient
359,patient359,Tablet,southwest,99,male,32.5,4,no,1359,Patient
360,patient360,Laptop,southeast,10,female,18.0,0,yes,1360,Patient
361,patient361,Mobile,northwest,11,male,18.5,1,no,1361,Patient
362,patient362,Tablet,northeast,12,female,19.0,2,no,1362,Patient
363,patient363,Laptop,southwest,13,male,19.5,3,yes,1363,Patient
364,patient364,Mobile,southeast,14,female,20.0,4,no,1364,Patient
365,patient365,Tablet,northwest,15,male,20.5,0,no,1365,Patient
366,patient366,Laptop,northeast,16,female,21.0,1,yes,1366,Patient
367,patient367,Mobile,southwest,17,male,21.5,2,no,1367,Patient
368,patient368,Tablet,southeast,18,female,22.0,3,no,1368,Patient
369,patient369,Laptop,northwest,19,male,22.5,4,yes,1369,Patient
370,patient370,Mobile,northeast,20,female,23.0,0,no,1370,Patient
371,patient371,Tablet,southwest,21,male,23.5,1,no,1371,Patient
372,patient372,Laptop,southeast,22,female,24.0,2,yes,1372,Patient
373,patient373,Mobile,northwest,23,male,24.5,3,no,1373,Patient
374,patient374,Tablet,northeast,24,female,25.0,4,no,1374,Patient
375,patient375,Laptop,southwest,25,male,25.5,0,yes,1375,Patient
376,patient376,Mobile,southeast,26,female,26.0,1,no,1376,Patient
377,patient377,Tablet,northwest,27,male,26.5,2,no,1377,Patient
378,patient378,Laptop,northeast,28,female,27.0,3,yes,1378,Patient
379,patient379,Mobile,southwest,29,male,27.5,4,no,1379,Patient
380,patient380,Tablet,southeast,30,female,28.0,0,no,1380,Patient
381,patient381,Laptop,northwest,31,male,28.5,1,yes,1381,Patient
382,patient382,Mobile,northeast,32,female,29.0,2,no,1382,Patient
383,patient383,Tablet,southwest,33,male,29.5,3,no,1383,Patient
384,patient384,Laptop,southeast,34,female,30.0,4,yes,1384,Patient
385,patient385,Mobile,northwest,35,male,30.5,0,no,1385,Patient
386,patient386,Tablet,northeast,36,female,31.0,1,no,1386,Patient
387,patient387,Laptop,southwest,37,male,31.5,2,yes,1387,Patient
388,patient388,Mobile,southeast,38,female,32.0,3,no,1388,Patient
389,patient389,Tablet,northwest,39,male,32.5,4,no,1389,Patient
390,patient390,Laptop,northeast,40,female,18.0,0,yes,1390,Patient
391,patient391,Mobile,southwest,41,male,18.5,1,no,1391,Patient
392,patient392,Tablet,southeast,42,female,19.0,2,no,1392,Patient
393,patient393,Laptop,northwest,43,male,19.5,3,yes,1393,Patient
394,patient394,Mobile,northeast,44,female,20.0,4,no,1394,Patient
395,patient395,Tablet,southwest,45,male,20.5,0,no,1395,Patient
396,patient396,Laptop,southeast,46,female,21.0,1,yes,1396,Patient
397,patient397,Mobile,northwest,47,male,21.5,2,no,1397,Patient
398,patient398,Tablet,northeast,48,female,22.0,3,no,1398,Patient
399,patient399,Laptop,southwest,49,male,22.5,4,yes,1399,Patient
400,patient400,Mobile,southeast,50,female,23.0,0,no,1400,Patient
401,patient401,Tablet,northwest,51,male,23.5,1,no,1401,Patient
402,patient402,Laptop,northeast,52,female,24.0,2,yes,1402,Patient
403,patient403,Mobile,southwest,53,male,24.5,3,no,1403,Patient
404,patient404,Tablet,southeast,54,female,25.0,4,no,1404,Patient
405,patient405,Laptop,northwest,55,male,25.5,0,yes,1405,Patient
